1501	"<img src=""E69C8D.png"" />"	clothing			服	ふく	clothes (esp. Western clothes) / counter for doses of medicine, gulps of tea, drags of a cigarette, etc.	clothing, moon, month, flesh, part of the body, underpants, stamp, crotch	<i>Flesh</i> . . . <i>stamp</i> . . . <i>crotch</i>. Note how the <i>stamp</i> is stretched out here.		8	It´s customary to cover the flesh with clothing, but some designs are so outrageous they´re not bigger than a stamp that just covers your crotch.	Modern clothing shows a lot of flesh -- some is practically no more than a postage stamp covering your crotch!	服	ぶく【服】mourning clothes / mourning; period of mourning<br/>ふく【服】clothes (esp. Western clothes) / counter for doses of medicine, gulps of tea, drags of a cigarette, etc.<br/>せいふく【制服】uniform<br/>ふくそう【服装】garments; attire<br/>いふく【衣服】clothes<br/>セーラーふく【セーラー服】sailor suit; middy uniform<br/>ようふく【洋服】Western-style clothes (cf traditional Japanese clothes)<br/>せいふく【征服】conquest; subjugation; overcoming<br/>ぐんぷく【軍服】military or naval uniform<br/>しふく【私服】civilian clothes; plain clothes; mufti / plainclothes police officer<br/>ふふく【不服】dissatisfaction; discontent; disapproval; objection; complaint; protest; disagreement<br/>いっぷく【一服】(a) dose; (a) puff; (a) smoke; lull; short rest<br/>ふくじゅう【服従】obedience; submission; resignation<br/>わふく【和服】Japanese clothes<br/>かんぷく【感服】admirable<br/>こくふく【克服】conquest (problem, disease, handicap, etc. e.g. poverty, illness); overcoming; bringing under control; subjugation; victory over<br/>ごふく【呉服】cloth (for Japanese clothes); textile; drapery; dry goods; piece goods / silk fabrics<br/>くっぷく【屈伏】yielding; submission; surrender; giving way; succumbing<br/>なつふく【夏服】summer clothing<br/>れいふく【礼服】ceremonial dress; evening dress; dress suit; morning suit	37	フク		1399	408	3	[sound:RTK1_keyword_jp_1501..mp3]	[sound:RTK1_keyword_en_1501.mp3]
1502	"<img src=""E591BD.png"" />"	fate			運命	うんめい　【運命】	fate; fortune	fate, fit, meeting, umbrella, one, mouth, stamp	This character connotes life in general, but also the particular life that is <b>fated</b> one by virtue of the distinctive character with which one is born. Its elements are: <i>fit</i> . . . <i>stamp</i>. The bottom portion of <i>fit</i> is nudged to the left in order to make room for the <i>stamp</i>.		8	When you´re born, your fate is measured, fitted, and stamped onto your soul. Good luck defying it.	Mouth meets stamp. Mail the letter to the university and wait on fate…　RTK2:　メイ　一生懸命　いっしょうけんめい(with all one´s might)　　　　　　　　ミョウ　寿命　　じゅみょう　　(span of one´s life).	命	"みこと【命】the spoken words of the emperor or a noble<br/>みこと【命】Lord; Highness / you<br/>いのち【命】life; life force / lifetime; lifespan / most important thing; foundation; core / paired tattoos of the ""life"" kanji on the upper arms of a man and woman (indicating unwavering love) / fate; destiny; karma<br/>めい【命】command; decree / life / destiny<br/>めいれい【命令】order; command; decree; directive / (software) instruction; statement<br/>せいめい【生命】life; existence<br/>うんめい【運命】fate; destiny; lot<br/>めいじる【命じる】to order; to command; to appoint<br/>けんめい【懸命】eagerness; earnestness; risking one's life<br/>かくめい【革命】revolution / 58th year of the sexagenary cycle (in onmyou-dou)<br/>いっしょうけんめい【一生けん命】very hard; with utmost effort; with all one's might; for dear life<br/>めいちゅう【命中】a hit; hitting something that was aimed at<br/>しめい【使命】mission; errand; message<br/>ちめい【致命】fatal<br/>じゅみょう【寿命】life span<br/>ちめいしょう【致命傷】fatal wound<br/>にんめい【任命】appointment; nomination; ordination; commission; designation<br/>しゅくめい【宿命】fate; destiny; predestination<br/>めいずる【命ずる】to command; to appoint<br/>ぼうめい【亡命】flight from one's country; seeking asylum; defection; emigration (for political reasons); (going into) exile; becoming a (political) refugee"	37	メイ, ミョウ	いのち	1400	416	2	[sound:RTK1_keyword_jp_1502..mp3]	[sound:RTK1_keyword_en_1502.mp3]
1503	"<img src=""E4BBA4.png"" />"	orders			命令	めいれい	order; command; decree; directive / (software) instruction; statement	orders, meeting, chop-seal, hanko	Meeting . . . chop-seal.		5	(re: dingomick) ´These are your orders,´ declares the general while passing out documents at the meeting. As everyone started to leave, the general exclaims ´Oh wait! I need to certify these orders!´ and went around stamping each paper with his personal chop-seal.	These are your orders, declares the general at the meeting as he stamps them with his chop-seal. (Primitive: chop-seal imaged as a papal ring, the one´s they would press into wax as their official seal. Also a cattle brand.).	令	めいれい【命令】order; command; decree; directive / (software) instruction; statement<br/>れい【令】command; order; dictation<br/>りょう【令】administrative and civil code<br/>しれい【司令】command; control; commander<br/>しれい【指令】orders; instructions; directive; command<br/>ごうれい【号令】order; command<br/>はつれい【発令】official announcement; proclamation<br/>しれい【使令】giving orders to someone and making use of him / servant<br/>れいじょう【令嬢】(your) daughter; young woman<br/>でんれい【伝令】messenger; orderly; runner<br/>ぐんれい【軍令】military command<br/>たとえ; たとい【仮令】even if; no matter (what); if; though; although; supposing; supposing that; -ever<br/>しれいとう【司令塔】control tower; conning tower / leader; boss<br/>じれい【辞令】notice of personnel change (appointment, dismissal, etc.) / wording; choice of language; phraseology<br/>れいじょう【令状】warrant; summons; written order<br/>かんこうれい【かん口令】gag order; gag rule; gag law<br/>ほうれい【法令】laws and ordinances; acts (of parliament, congress, etc.)<br/>れいそく【令息】son<br/>かれい【家令】steward; butler<br/>ふれい【布令】official announcement; proclamation	37	レイ		1401	633	2	[sound:RTK1_keyword_jp_1503..mp3]	[sound:RTK1_keyword_en_1503.mp3]
1504	"<img src=""E99BB6.png"" />"	zero			零	れい	zero	zero, rain, weather, orders, meeting, chop-seal, hanko	Rain . . . orders.		13	The amount of people that can order the rain to rain.	Despite the rain, the zero pilot flies on. He has kamikaze orders.	零	れい; ぜろ; ゼロ【零】zero; nought<br/>こぼれる【溢れる】to spill; to fall out of; to overflow / to peek through; to become visible (although normally not) / to escape (of a smile, tear, etc.)<br/>れいらく【零落】falling into straitened circumstances; downfall; ruin<br/>こぼす【溢す】to spill; to drop; to shed (tears) / to grumble; to complain / to let one's feelings show<br/>れいさい【零細】insignificant; trifling; paltry; cottage (industry); tiny (company)<br/>れいじ【零時】twelve o'clock; midnight; noon<br/>れいか【零下】below zero; sub-zero<br/>れいど【零度】zero; absolute zero (temp.); freezing point<br/>れいてん【零点】zero; no marks<br/>むかご; ぬかご; れいよし【零余子】bulbil (esp. of a Japanese yam); propagule; brood bud<br/>おちぶれる【落ちぶれる】to be ruined (reduced to poverty); to fall low; to go under; to come to ruin	37	レイ	ぜろ, こぼ.す, こぼ.れる	1402	1820	2	[sound:RTK1_keyword_jp_1504..mp3]	[sound:RTK1_keyword_en_1504.mp3]
1505	"<img src=""E9BDA2.png"" />"	age			年齢	ねんれい	age	age, teeth, tooth, stop, footprint, rice, shovel, orders, meeting, chop-seal, hanko	This character is used to express the years of one´s <b>age</b>. Its elements: <i>teeth</i> . . . <i>orders</i>.		17	You know you are fast approaching a ripe old AGE when you get ORDERS from the dentist to get new TEETH.	The tooth fairy has orders to stop giving money if a child is a certain age. RTK2:　レイ　高齢　こうれい(advanced age)…　　　　　　　　　　　　Semi-pure group: 　令1401　零1402　冷1404　鈴1406　(ﾘｮｳ): 領1405.	齢	ねんれい【年令】age; years<br/>よわい【歯】(one's) age<br/>れい【齢】instar<br/>こうれい【高齢】advanced (old) age<br/>ろうれい【老齢】advanced age; senility<br/>みょうれい【妙齢】young; blooming (age)<br/>じゅれい【樹齢】age of a tree<br/>てきれいき【適齢期】suitable age (esp. for marriage); marriageable age<br/>がくれい【学齢】school age<br/>れきねんれい【暦年齢】chronological age<br/>てきれい【適齢】suitable age<br/>げつれい【月齢】age of the moon; number of days since the new moon / age in months (esp. of an infant)<br/>そうれい【壮齢】in the prime of manhood<br/>たいれい【頽齢】declining years	37	レイ	よわい, とし	1403	2072	2	[sound:RTK1_keyword_jp_1505..mp3]	[sound:RTK1_keyword_en_1505.mp3]
1506	"<img src=""E586B7.png"" />"	cool			冷房	れいぼう	air conditioning (cooling)	cool, ice, orders, meeting, chop-seal, hanko	Ice . . . orders.		7	To keep your water cool, just order some ice.	The Japanese boss gives an order at the meeting: eat ice to stay cool (since they won´t be running the air conditioning anymore).	冷	つめたい; つべたい【冷たい】cold (to the touch); chilly; icy; freezing / coldhearted; unfeeling<br/>れいせい【冷静】calm; composure; coolness; serenity<br/>ひえる【冷える】to grow cold (from room temperature, e.g. in refrigerator); to get chilly; to cool down<br/>ひや【冷】cold water / cold sake / cold; cool; chilled; unheated<br/>れい【冷】cold; cool / cold sake<br/>れいぞうこ【冷蔵庫】refrigerator<br/>さめる【冷める】to become cool (e.g. from a high temperature to room temperature); to come down (fever) / to cool down (interest); to abate; to subside; to dampen<br/>れいこく【冷酷】cruelty; coldheartedness; relentless; ruthless<br/>ひややか【冷やか】cold; chilly; cool / indifferent; cold-hearted; surly; curt; composed<br/>れいき【冷気】cold; chill; cold weather; cold wave; cold air<br/>ひやす【冷す】to cool (from room temperature); to chill; to refrigerate / to calm down; to cool off; to regain one's composure; to relax / to be frightened (at); to be scared (of)<br/>れいしょう【冷笑】derision; derisive laughter; scornful laugh<br/>れいとう【冷凍】freezing; cold storage; refrigeration<br/>れいたん【冷淡】coolness; indifference<br/>ひややか【冷やか】cold; chilly; cool / indifferent; cold-hearted; surly; curt; composed<br/>ひやあせ; れいかん【冷汗】cold sweat<br/>れいきゃく【冷却】cooling; refrigeration<br/>ひやかす【冷かす】to banter; to make fun of; to jeer at / to cool; to refrigerate / to window-shop; to look at without buying<br/>れいてつ【冷徹】cool-headedness<br/>れいぜん【冷然】indifference; coolness; lukewarmness; cold-heartedness	37	レイ	つめ.たい, ひ.える, ひ.や, ひ.ややか, ひ.やす, ひ.やかす, さ.める, さ.ます	1404	634	2	[sound:RTK1_keyword_jp_1506..mp3]	[sound:RTK1_keyword_en_1506.mp3]
1507	"<img src=""E9A098.png"" />"	jurisdiction			領域	りょういき	area; domain; territory; field; range; region; regime	jurisdiction, orders, meeting, chop-seal, hanko, head, page, one, ceiling, drop, shellfish, clam, oyster, eye, animal legs, eight	Orders . . . head.		14	Two cowboys are crossing a state limit. One says to him “Did you know that in this Jurisdiction there are Orders to get your head?”, so he takes out his gun and shoots him. He claims the reward afterwards. (Thanks Fuaburisu).	Orders are given by the head person in any jurisdiction.	領	りょう【領】territory of (country)<br/>えり【衿】collar; lapel; neckband; neck / nape of the neck; scruff of the neck<br/>りょうしゅ【領主】feudal lord<br/>せんりょう【占領】occupation; capture; possession; have a room to oneself<br/>ようりょう【要領】point; gist; essentials; tenets; outline / knack; trick; the ropes<br/>りょういき【領域】area; domain; territory; field; range; region; regime<br/>だいとうりょう【大統領】president; chief executive<br/>りょうち【領地】territory; dominion; grounds (e.g. school)<br/>りょうど【領土】dominion; territory; possession<br/>しゅりょう【主領】head; chief; boss; leader<br/>りょうない【領内】(within a) territory; domains<br/>りょうぶん【領分】territory; domain; dominion; possession; sphere of action<br/>しょりょう【所領】territory<br/>ほんりょう【本領】speciality; specialty; characteristic / proper function; duty / original fief<br/>とうりょう【頭領】head; chief; boss<br/>りょうみん【領民】population of a fief<br/>かんりょう【管領】(person in) control<br/>おうりょう【横領】embezzlement; misappropriation; usurpation<br/>りょうじかん【領事館】consulate<br/>ずりょう; ずろう【受領】provincial governor (from the middle of the Heian period)	37	リョウ	えり	1405	825	2	[sound:RTK1_keyword_jp_1507..mp3]	[sound:RTK1_keyword_en_1507.mp3]
1508	"<img src=""E988B4.png"" />"	small bell			鈴	すず	bell (often globular)	small bell, metal, gold, orders, meeting, chop-seal, hanko	Gold . . . orders.		13	Some restaurants have a small gold bell to call someone to take customers´ orders.	In high society, people ring a small golden bell to call their servants and give their orders.	鈴	すず; りん; れい【鈴】bell (often globular)<br/>よびりん【呼びりん】bell (used for summoning or signalling); buzzer<br/>ふうりん【風りん】wind chime; wind bell<br/>じゃがいも; ジャガいも; ジャガイモ; ばれいしょ【じゃが芋】potato (Solanum tuberosum)<br/>すずなり【鈴なり】bunches (e.g. of fruit); clusters / crammed (e.g. with people); overflowing<br/>よびりん【呼びりん】bell (used for summoning or signalling); buzzer<br/>しんれい【振鈴】hand bell; ringing of a bell<br/>すずらん; スズラン【鈴蘭】lily of the valley (Convallaria keiskei)<br/>すずむし; スズムシ【鈴虫】bell cricket (Homoeogryllus japonicus) / pine cricket (Xenogryllus marmoratus)<br/>でんれい【電鈴】electric bell<br/>あれい; アレイ【亜鈴】dumbbell	37	レイ, リン	すず	1406	1817	1	[sound:RTK1_keyword_jp_1508..mp3]	[sound:RTK1_keyword_en_1508.mp3]
1509	"<img src=""E58B87.png"" />"	courage			勇気	ゆうき	courage	courage, chop-seal, hanko, male, rice field, brains, power, muscle, arnold	Chop-seal . . . man.		9	I imagined some kind of initiation rite in old China, where every young man has to show his courage. They then receive a chopseal which is a mark of their courage.	Re: fuaburisu - The initiation rite in question is actually a reverse elbow chop to the brain, and you receive the chop seal if you have the power to withstand it. This initial imagery helps me with the altered chop seal and vertical placement.	勇	ゆうき【勇気】courage; bravery; valour; valor; nerve; boldness<br/>ゆう【勇】bravery; courage; heroism<br/>ゆうしゃ; ゆうじゃ【勇者】hero; the brave; man of valour (valor)<br/>ゆうかん【勇敢】brave; heroic; gallant<br/>いさましい【勇ましい】brave; valiant; gallant; courageous / stirring; vigorous; rousing<br/>ゆうし【勇士】brave warrior; hero; brave man<br/>ゆうもう; ゆうみょう【勇猛】daring; bravery; valor; valour<br/>ぶゆう【武勇】bravery; military prowess; valour; valor<br/>いさむ【勇む】to be in high spirits; to be encouraged; to be lively; to cheer up<br/>ゆうきづける【勇気づける】to encourage; to cheer<br/>ぎゆうぐん【義勇軍】volunteer army<br/>ぎゆう【義勇】heroism; loyalty and courage<br/>ゆうそう【勇壮】heroic; brave; majestic; soul-stirring; lively; gallant<br/>ゆうし【勇姿】gallant figure<br/>ゆうやく【勇躍】taking heart; being in high spirits<br/>いさみたつ【勇み立つ】to cheer up; to be encouraged (by); to be in high spirits<br/>ばんゆう【蛮勇】foolhardiness; recklessness; savage valour; savage valor; brute courage<br/>いさみあし【勇み足】overeagerness; rashness / forward step-out<br/>ゆうしょう【勇将】brave general; great soldier<br/>ゆうめい【勇名】fame (for one's bravery); great renown	37	ユウ	いさ.む	1407	622	2	[sound:RTK1_keyword_jp_1509..mp3]	[sound:RTK1_keyword_en_1509.mp3]
1510	"<img src=""E6B9A7.png"" />"	bubble up			湧き出す	わきだす	to gush out	bubble up, water, water droplets, water pistol, courageous, courage, chop-seal, hanko, male, rice field, brains, power, muscle, arnold	Water . . . courage.		12	The courageous man who went into the water to save a drowning victim couldn´t be seen, except by the air that bubbled up.	Bubble up the WATER and see who has the COURAGE to jump into it.	湧	わく【涌く】to well (up); to gush forth (of water); to spring out; to surge / to appear (esp. suddenly) (sweat, tears, etc.) / to feel emotions form (joy, bravery, etc.) / to hatch (esp. of parasitic insects, etc.)<br/>わきでる【わき出る】to gush forth<br/>ゆうしゅつ; ようしゅつ【涌出】gushing out; welling up; springing up<br/>わきみず【わき水】spring water	37	ユウ, ヨウ, ユ	わ.く	2284	1644	1	[sound:RTK1_keyword_jp_1510..mp3]	[sound:RTK1_keyword_en_1510.mp3]
