1751	"<img src=""E99689.png"" />"	closed			閉まる	しまる	be shut, be closed	closed, gates, genie	Gates . . . genie.		11	The gates are too big to be closed by man. Only a genie can. ´Close sesame!´.	"You hear lesbians moaning ""オォ~"" from behind closed gates, and you ask a genius how to get in there."	閉	とじる【閉じる】to close (e.g. book, eyes, meeting, etc.); to shut<br/>しめる【閉める】to close; to shut<br/>とざす; さす【鎖す】to shut; to close; to lock; to fasten / to plunge (in grief)<br/>しまる【緊まる】to be shut; to close; to be closed / to be firm (of a body, face, etc.); to be well-knit / to be locked / to tighten; to be tightened / to become sober; to become tense<br/>とじこめる【閉じこめる】to lock up; to shut up; to imprison<br/>へいさ【閉鎖】closing; closure; shutdown; lockout; unsociable<br/>とじこめる【閉じこめる】to lock up; to shut up; to imprison<br/>かいへい【開閉】opening and shutting<br/>とじこもる【閉じこもる】to seclude oneself; to shut oneself away<br/>へいこう【閉口】dumbfounded; stumped; at one's wits' end; nonplussed / annoyed<br/>ゆうへい【幽閉】confinement; imprisonment; incarceration; house arrest<br/>みっぺい【密閉】airtight<br/>しめきる【〆切る】to close up; to shut up (e.g. behind doors); to cut off (e.g. because a deadline has expired)<br/>へいてん【閉店】closing up shop (for the day) / stopping business; going out of business<br/>へいそく【閉塞】closure; blockage<br/>しめだす【締め出す】to shut out; to bar; to lock out; to exclude<br/>へいかい【閉会】closure (of a ceremony, event, meeting, etc.)<br/>へいもん【閉門】closing of a gate / (Edo-period) house confinement<br/>へいかん【閉館】closing of a building<br/>じへいしょう【自閉症】autism	42	ヘイ	と.じる, と.ざす, し.める, し.まる, た.てる	1623	979	2	[sound:RTK1_keyword_jp_1751..mp3]	[sound:RTK1_keyword_en_1751.mp3]
1752	"<img src=""E996A3.png"" />"	tower			内閣	ないかく	cabinet; (government) ministry	tower, gates, each, walking legs, mouth	Gates . . . each.		14	To keep this distinct from other kanji such as ´watchtower´ and ´pagoda´, I use the mnemonic ´towering tower´. -- In some old 8-bit kung-fu videogame, with a plot similar as Bruce Lee´s last, unfinished movie, the hero must break through a gate at each level of the towering tower, fighting with opponents using various styles of kung-fu until he meets the finale at the topmost level of the ´towering tower´.	Remember the two towers from lord of the rings... each has it´s own - very difficult to master - entrance gate.	閣	かっか【閣下】your Excellency; his (or her) Excellency<br/>かくりょう【閣僚】cabinet ministers<br/>ないかく【内閣】cabinet; (government) ministry<br/>てんしゅかく【天守閣】castle tower; keep; donjon<br/>ろうかく【楼閣】multistoried building<br/>かくぎ【閣議】cabinet meeting<br/>ぶっかく【仏閣】Buddhist temple<br/>かくない【閣内】(inside the) Cabinet<br/>そかく【組閣】formation of a cabinet<br/>たいかく; だいかく【台閣】tall building; the cabinet<br/>かくがい【閣外】outside the Cabinet<br/>かくいん【閣員】Cabinet Minister	42	カク		1624	837	1	[sound:RTK1_keyword_jp_1752..mp3]	[sound:RTK1_keyword_en_1752.mp3]
1753	"<img src=""E99691.png"" />"	leisure			農閑期	のうかんき	slack season for farmers; leisure season for farmers	leisure, gates, tree, wood	Gates . . . tree.		12	Imagine the gates the Garden of Eden, the ultimate land of leisure. You´re not allowed in, but if you peek through you can see trees.	Getting wood watching lesbians is my idea of leisure time.	閑	のどか【長閑】tranquil; calm; quiet; peaceful<br/>かんせい【閑静】quiet (e.g. neighbourhood, neighborhood)<br/>かんさん【閑散】deserted (esp. store, market, town, streets); very few people / quiet; inactive; off-season; dull; hushed<br/>しんかん【森閑】silence; stillness; quietness<br/>かんじゃく【閑寂】quiet; tranquility; tranquillity<br/>ゆうかん【有閑】leisured<br/>ひまじん; かんじん【ひま人】person with a lot of free time on their hands; person of leisure; idler<br/>かんきゃく【閑却】negligence; disregard<br/>あんかん【安閑】easygoingness<br/>なおざり; とうかん【等閑】neglect; negligence; disregard; make light of<br/>かんしょく【閑職】leisurely post; do-nothing job; sinecure<br/>かんこどり【閑古鳥】cuckoo<br/>かんか【閑暇】leisure<br/>せいかん【清閑】peaceful; quiet; tranquility; tranquillity<br/>かんが【閑雅】refined; elegant<br/>かんじつげつ【閑日月】leisure<br/>しんかん【森閑】silence; stillness; quietness<br/>かんきょ【閑居】quiet and secluded life; quiet retreat; idle life<br/>かんわ【閑話】quiet conversation / gossiping; idle talk<br/>かんだん【閑談】quiet conversation; idle talk	42	カン		1625	1708	1	[sound:RTK1_keyword_jp_1753..mp3]	[sound:RTK1_keyword_en_1753.mp3]
1754	"<img src=""E8819E.png"" />"	hear			聞く	きく	hear, ask	hear, gates, ear	<i>Gates</i> . . . <i>ear</i>. Compare the story you invented for the kanji meaning <i>listen</i> (Frame 890).		14	Press your ear to the gates and see if you can hear what is going on inside.	To distinguish from listen, you hear someone at the door (gate).	聞	しんぶん【新聞】newspaper<br/>きこえる【聞える】to be heard; to be audible / to be said to be; to be reputed<br/>きかす【聞かす】to inform about; to read to; to sing for<br/>ききかえす【聞き返す】to listen repeatedly; to listen again / to ask a question in return / to ask again; to ask for a repeated explanation<br/>いいきかせる【言いきかせる】to tell someone to do something; to warn; to persuade; to instruct<br/>きける【聞ける】to tell<br/>ききつける【聞きつける】to hear; to catch (the sound of something) / to hear about (rumour, etc.); to overhear; to learn of (something) / to get used to hearing<br/>ききおぼえ【聞きおぼえ】learning by ear / memory of having heard something before<br/>ききながす【聞き流す】to ignore<br/>ききだす【聞き出す】to get information out of a person; to begin listening<br/>ききとる【聞きとる】to catch (a person's words); to make out; to follow; to understand<br/>しんぶんし【新聞紙】newsprint; newspaper<br/>ききみみ【聞耳】straining one's ears<br/>ききこむ【聞き込む】to get information; to find out; to get wind of<br/>ききいる【聞きいる】to listen attentively to; to be lost in<br/>けんぶん; けんもん【見聞】information; observation<br/>ききいれる【聞き入れる】to grant (a wish); to accede; to comply with; to heed<br/>がいぶん【外聞】reputation; respectability; honour; honor<br/>ぜんだいみもん【前代未聞】unheard-of; unprecedented; unparalleled in history (unparallelled); record-breaking<br/>ききすてる【聞き捨てる】to ignore; to overlook	42	ブン, モン	き.く, き.こえる	1626	219	4	[sound:RTK1_keyword_jp_1754..mp3]	[sound:RTK1_keyword_en_1754.mp3]
1755	"<img src=""E6BDA4.png"" />"	wet			潤い	うるおい	moisture; damp; wetness / richness; warmth; gain; profit / financial leeway	wet, water, water droplets, water pistol, intercalate, gates, king, jewel, ball	Water . . . gates . . . king.		15	Forgetting about the moat, the king stepped out of his gate and landed in the water. Needless to say he got wet.	(I had the same idea as Dingomick) I imagine some prankster who put a bucket full of water on top of the huge gates, so that it would fall on the king as he came through them. See the king now, between the gates, all wet, dripping drops of water.	潤	うるむ【潤む】to be wet; to be moist / to get dim; to become blurred; to get cloudy; to get muddy; to be bleared / to become tear-choked<br/>うるおう【潤う】to be moist; to be damp; to get wet; to be watered / to profit by; to receive benefits; to receive favors (favours) / to become rich; to become at ease financially<br/>うるおい【潤い】moisture; damp; wetness / richness; warmth; gain; profit / financial leeway<br/>うるおす【潤す】to moisten; to wet / to profit; to enrich; to benefit<br/>じゅんかつゆ【潤滑油】lubricating oil; lubricant; lube<br/>じゅんかつ【潤滑】smoothness; lubrication<br/>しつじゅん【湿潤】dampness<br/>じゅんたく【潤沢】abundant; ample; plentiful; affluent / lustrous; glossy<br/>りじゅん【利潤】profit; returns<br/>ほうじゅん【豊潤】rich and prosperous; luxurious; abundant<br/>しんじゅん【浸潤】infiltration; permeation<br/>じゅんしょく【潤色】rhetorical flourishes<br/>はいしんじゅん【肺浸潤】pulmonary infiltration; infiltration of the lungs	42	ジュン	うるお.う, うるお.す, うる.む	1627	1916	1	[sound:RTK1_keyword_jp_1755..mp3]	[sound:RTK1_keyword_en_1755.mp3]
1756	"<img src=""E6AC84.png"" />"	column			欄	らん	column, field	column, tree, wood, gates, east, tree, wood, sun, day, tree2, wood2	Tree . . . gates . . . east.		20	[column; handrail; blank; space] I think about oriental (eastern) Torii gates: they have two supporting columns made of wood.	A column of text scratched on a black tree beside the gates of Hell: To the East lies The Beast.	欄	らん【欄】column of text (e.g. in a newspaper) / field (in a form, web page, etc.)<br/>らんかん【欄干】guardrail; handrail; bannister; balustrade; parapet / (a person) shining like the stars or moon; (a person) crying endlessly<br/>らんま【欄間】(in Japanese architecture) transom<br/>くうらん【空欄】blank space<br/>らんがい【欄外】margin<br/>こうらん【勾欄】railing; handrail; balustrade / armrest (chair)<br/>こうらん【勾欄】railing; handrail; balustrade / armrest (chair)<br/>ほんらん【本欄】this column	42	ラン	てすり	1628	2119	1	[sound:RTK1_keyword_jp_1756..mp3]	[sound:RTK1_keyword_en_1756.mp3]
1757	"<img src=""E99798.png"" />"	fight			闘う	たたかう　【闘う】	contend with; fight	fight, gates, beans, table, one, mouth, glue	<i>Gates</i> . . . <i>table</i> . . . <i>glue</i>. Do not confuse with <i>contend</i> (Frame 1238).		18	During the saloon brawl, one guy got glued to a table and was tossed out through the saloon gates. But he really wanted to fight, so he ran back through those gates (with the table still glued to his back) only to be tossed out again. Imagine him repeatedly running in and being tossed back out.	Food fight! Look, beans are stuck to the gates like glue.	闘	せんとう【戦闘】battle; fight; combat<br/>けっとう【決闘】duel; shoot-out<br/>かくとう【挌闘】hand-to-hand fighting; grappling; scuffling<br/>たたかう【戦う】to make war (on); to wage war (against); to go to war (with); to fight (with); to do battle (against) / to compete (against) / to struggle (against adversities, etc.); to fight; to contend; to resist<br/>とうそう【斗争】strife; conflict<br/>とうぎ【闘技】competition; contest<br/>とうぎゅう【闘牛】bullfighting; bullfight / fighting bull<br/>たたかい【戦い】battle; fight; struggle; conflict<br/>しとう【死闘】life or death struggle; mortal combat; struggle to the death<br/>とうし【闘志】fighting spirit; (will to) fight<br/>らんとう【乱闘】fray; fighting; brawling; scuffle<br/>ふんとう【奮闘】hard struggle; strenuous effort<br/>ぶとう【武闘】armed struggle<br/>けんとう【健闘】fighting bravely; strenuous efforts / good luck!; good fight<br/>とうし【闘士】fighter (for); militant; champion (of); boxer<br/>かくとうぎ【挌闘技】martial arts which involve fighting without weapons; combat sport; one-on-one fighting sport<br/>あくせんくとう【悪戦苦闘】hard fighting; hard struggle; fighting against heavy odds<br/>くとう【苦闘】hard fight; difficult struggle<br/>そうとう【争闘】strife; struggle<br/>しとう【私闘】personal struggle	42	トウ	たたか.う, あらそ.う	1629	2094	1	[sound:RTK1_keyword_jp_1757..mp3]	[sound:RTK1_keyword_en_1757.mp3]
1758	"<img src=""E58089.png"" />"	godown			酒倉	さかぐら	wine cellar	godown, meeting, single gate, umbrella, stable door, mouth	The single <i>gate</i> is used here not in order to represent one <i>gate</i>, but many of them, indeed a <i>meeting of gates</i>. Add <i>mouth</i> (as an entrance here) and you end up with <b>godown</b>. That should help keep this character distinct from <i>warehouse</i> (Frame 633).		10	(Warning-this one is crude) Imagine a godown (dockside warehouse) where you can meet girls who will godown on you with their mouth. To keep the place a bit of a secert, they only have one gate.	"Hint : the ""godown"" is like a warehouse, it´s on the docks and mostly in Asia. To make an image distinct from that of ""warehouse"" or ""storehouse"", etc, I picture the goods stored there, piled up on pallets really high, and thus they have to ""godown"" before they can be taken outside. The front of this godown is a ""meeting of small gates"", i.e. a row of gates through which goods come in and out. The mouth can be an opening somewhere in the back, or the top, where cranes lift down the goods."	倉	そうこ【倉庫】storehouse; warehouse; godown<br/>くら【倉】warehouse; storehouse; cellar; magazine; granary; godown; depository; treasury; elevator<br/>だんそう【弾倉】magazine (of a firearm)<br/>むなぐら【胸ぐら】collar; lapels<br/>ふなぐら; せんこ【船倉】boathouse / ship's hold; hatch<br/>せんそう【船倉】ship's hold; hatch<br/>やぐら【岩倉】caves dug as tombs in and around Kamakura during the Kamakura and Muromachi periods<br/>こくそう【穀倉】granary<br/>あなぐら【穴ぐら】cellar; cave; hole in the ground<br/>えいそう【営倉】guardhouse; detention barracks<br/>こめぐら【米倉】rice granary<br/>さかぐら【酒倉】sake brewery / wine cellar / bar; bar-room<br/>そうこう【倉皇】hurry; bustle<br/>やぐら【櫓】turret; watchtower / high wooden stage; scaffolding / wooden frame (of a kotatsu) / weapons storehouse<br/>やぐら【岩倉】caves dug as tombs in and around Kamakura during the Kamakura and Muromachi periods<br/>どそう【土倉】money broker (Muromachi period)<br/>そうそつ【倉卒】sudden; hurried; busy; precipitate; abrupt<br/>あぜくら【校倉】ancient log storehouse<br/>くらしきりょう【倉敷料】storage charges	42	ソウ	くら	1630	559	1	[sound:RTK1_keyword_jp_1758..mp3]	[sound:RTK1_keyword_en_1758.mp3]
1759	"<img src=""E589B5.png"" />"	genesis			創世記	そうせいき	Genesis (book of the Bible)	genesis, godown, meeting, single gate, umbrella, stable door, mouth, sword, sabre, saber	Godown . . . saber.		12	Back in the day the people were so excited to get hold of the Sega genesis they looted the godown with sabers.	I prefer to have girls Godown on my sabre to prevent unwanted GENESIS of babies............創造　そうぞう (creation).	創	そうぞう【創造】creation<br/>そうさく【創作】production; literary creation; work<br/>きず; キズ【傷】wound; injury; cut; gash; bruise; scratch; scrape; scar / chip; crack; scratch; nick / flaw; defect; weakness; weak point / stain (on one's reputation); disgrace; dishonor; dishonour / (emotional) hurt; hurt feelings<br/>つくる【作る】to make; to produce; to manufacture; to build; to construct / to prepare (food); to brew (alcohol) / to raise; to grow; to cultivate; to train / to till / to draw up (a document); to make out; to prepare; to write / to create (an artistic work, etc.); to compose / to coin (a phrase); to organize; to organise; to establish; to found / to have (a child) / to make up (one's face, etc.) / to fabricate (an excuse, etc.) / to form (a line, etc.) / to set (a record) / to commit (a sin, etc.)<br/>ばんそうこう; バンソーコー; バンソーコ【絆創膏】adhesive plaster; sticking plaster; bandage; band-aid<br/>そうりつ【創立】establishment; founding; organization; organisation<br/>どくそう【独創】originality<br/>そうせつ【創設】establishment; founding; organization; organisation<br/>そうせい【創世】creation of world<br/>そうい【創痍】wound; scar<br/>つくりだす【作り出す】to manufacture; to produce; to raise (crops) / to invent; to dream up; to create<br/>そうぎょう【創業】establishment (of a business, etc.)<br/>そうかん【創刊】launching (e.g. newspaper); first issue<br/>そうし【創始】creation; founding; initiating<br/>じゅうそう【銃創】gunshot wound<br/>そうしゅつ【創出】creation; generation<br/>そうけん【創建】establishment; foundation<br/>そうしょう【創傷】wound<br/>そうそう【草創】beginning; inauguration<br/>そうい【創意】original idea; originality	42	ソウ, ショウ	つく.る, はじ.める, きず, けず.しける	1631	932	1	[sound:RTK1_keyword_jp_1759..mp3]	[sound:RTK1_keyword_en_1759.mp3]
1760	"<img src=""E99D9E.png"" />"	un-			非～	ひ～		un-, jail cell, prison bars	"This key word, a negating prefix, is a doodle of a heavy iron pole with bars extending in both directions, to create the picture of a jail cell. From there to ""<b>un-</b>"" is but a short step."	"* As a primitive, we shall draw on the explanation above for the meaning of <i>jail cell</i>.	 "	8	This looks like a pictogram of 3 fingers from each hand trying to open up a crack in a wall. That´s an un-believable way to escape from prison OR the UN- have a prison in the Hague.	People in the jail cell are un-friendly, un-comely, and un-cooperative.	非	"ひじょう【非常】emergency / extraordinary; unusual<br/>ひ【非】fault; error; mistake / going poorly; being disadvantageous; being unfavorable / un-; non-; an-<br/>ひなん【批難】criticism; blame; censure; attack; reproach<br/>ぜひ【是非】certainly; without fail / right and wrong; pros and cons<br/>ひどう【非道】unjust; inhuman<br/>ひばん【非番】off duty<br/>ひじょう【非情】inanimate nature; callous; heartless<br/>ひじょうしき【非常識】lack of common sense; thoughtlessness; senselessness; irrationality; absurdity / thoughtless; senseless; unreasonable; absurd; preposterous; aberrant<br/>ひりき【非力】powerless; disability; incompetence<br/>ひじょうじ【非常時】(time of) emergency; crisis<br/>ぜひとも【是非とも】by all means (with sense of not taking ""no"" for an answer)<br/>ひじょうぐち【非常口】emergency exit<br/>ひごうほう【非合法】illegal; unlawful<br/>ひれい【非礼】impoliteness<br/>ひぼん【非凡】prodigy; rare; unique; extraordinary<br/>ひこうしき【非公式】informal; unofficial<br/>ひにん【非人】group comprising the lowest rank of Japan's Edo-period caste system (often ex-convicts or vagrants) / non-human<br/>ひこう【非行】delinquency; misconduct<br/>ひごう【非業】unnatural or untimely (death)<br/>ひたいしょう【非対称】asymmetry"	42	ヒ	あら.ず	1632	794	2	[sound:RTK1_keyword_jp_1760..mp3]	[sound:RTK1_keyword_en_1760.mp3]
